title,author,journal,volume,number,pages,year,cite_id,cites
"Riqueza, endemismo y conservación de los mamíferos de Colombia","S Solari, Y Muñoz-Saba, JV Rodríguez-Mahecha, TR Defler, ...",Mastozoología neotropical,20,(2),301-365,2013,8545857613228663677,289
Roadmap on optical security,"B Javidi, A Carnicer, M Yamaguchi, T Nomura, E Pérez-Cabré, MS Millán, ...",Journal of Optics,18,(8),083001,2016,358355558456571536,268
The Burmese python genome reveals the molecular basis for extreme adaptation in snakes,"TA Castoe, APJ de Koning, KT Hall, DC Card, DR Schield, MK Fujita, ...",Proceedings of the National Academy of Sciences,110,(51),20645-20650,2013,9682074416381653981,252
Partitioning the heritability of Tourette syndrome and obsessive compulsive disorder reveals differences in genetic architecture,"LK Davis, D Yu, CL Keenan, ER Gamazon, AI Konkashbaev, EM Derks, ...",PLoS Genet,9,(10),e1003864,2013,13121151430823760111,245
Subsurface cation vacancy stabilization of the magnetite (001) surface,"R Bliem, E McDermott, P Ferstl, M Setvin, O Gamba, J Pavelec, ...",Science,346,(6214),1215-1218,2014,12121792455310132718,203
Clave de identificación de los murciélagos de Sudamérica/Chave de identificação dos morcegos da América do Sul,"MM Díaz, S Solari, LF Aguirre, L Aguiar, RM Barquez",Publicación Especial Nro,2,,160,2016,17149388939528073018,175
Optical encryption and QR codes: secure and noise-free information retrieval,"JF Barrera, A Mira, R Torroba",Optics express,21,(5),5373-5378,2013,3869542399236188232,172
Linking rhizosphere microbiome composition of wild and domesticated Phaseolus vulgaris to genotypic and root phenotypic traits,"JE Pérez-Jaramillo, VJ Carrión, M Bosse, LFV Ferrão, M de Hollander, ...",The ISME journal,11,(10),2244-2257,2017,2674019255302612748,163
The origin and maintenance of montane diversity: integrating evolutionary and ecological processes,"CH Graham, AC Carnaval, CD Cadena, KR Zamudio, TE Roberts, ...",Ecography,37,(8),711-719,2014,7136816623967899265,159
Selective removal of phosphate from wastewater using hydrated metal oxides dispersed within anionic exchange media,"NY Acelas, BD Martin, D López, B Jefferson",Chemosphere,119,,1353-1360,2015,3121222783538297326,158
Structural analysis of char by Raman spectroscopy: Improving band assignments through computational calculations from first principles,"MW Smith, I Dallmeyer, TJ Johnson, CS Brauer, JS McEwen, JF Espinal, ...",Carbon,100,,678-692,2016,8569481184003909448,157
Temephos resistance in Aedes aegypti in Colombia compromises dengue vector control,"N Grisales, R Poupardin, S Gomez, I Fonseca-Gonzalez, H Ranson, ...",PLoS Negl Trop Dis,7,(9),e2438,2013,16706160457930668620,154
Genome-wide association study of Tourette's syndrome,"JM Scharf, D Yu, CA Mathews, BM Neale, SE Stewart, JA Fagerness, ...",Molecular psychiatry,18,(6),721-728,2013,623104561762585354,150
CO2 reforming of methane over Ni/Mg/Al/Ce mixed oxides,"CE Daza, J Gallego, JA Moreno, F Mondragón, S Moreno, R Molina",Catalysis Today,133,,357-366,2008,1637602103032876224,150
